Belleville Park,Community Park,1300 S. Mayflower Road,South Bend,Indiana,46619,41.66003226000049,-86.32198280299968,,7,2,,,2
Blackthorn Golf Course,Golf Course,6100 Nimtz Parkway,South Bend,Indiana,46628,41.72254377100046,-86.33406577499966,,,,1,,
Boehm Park,Community Park,3205 Edison Road,South Bend,Indiana,46617,41.694669059000034,-86.20279481199998,,2,2,,,4
Boland Park,Community Park,3000 Bendix,South Bend,Indiana,46628,41.70800951800004,-86.30776964199998,,2,1,,1,2
Booth Tarkington,Neighborhood Park,1722 Rerick Drive,South Bend,Indiana,46635,41.69871230300049,-86.20190786599966,,1,,,4,
Bowman Cemetery,Cemetery,1700 S. Miami Street,South Bend,Indiana,46613,41.65777328200005,-86.23495205399996,,,,,,
Brownfield Park,Block Park,1022 Angela Blvd,South Bend,Indiana,46616,41.69323166000049,-86.26449754599969,,,0.5,,,
City Cemetery,Cemetery,214 Elm Street,South Bend,Indiana,46616,41.67766498600048,-86.26776489199966,,,,,,
Coquillard Park,Neighborhood Park,1300 Campaeu,South Bend,Indiana,46617,41.68598225900007,-86.23081651199999,,,0.5,,,2
East Race Trail,Special,935 Niles,South Bend,Indiana,46617,41.68411374800047,-86.23649851699969,,,,,,
East Race Waterway,Community Park,126 N. Niles,South Bend,Indiana,46617,41.67740127900004,-86.24432328899996,,,,,,
Edison Park,Neighborhood Park,2400 Rockne Dr,South Bend,Indiana,46615,41.68932081300005,-86.21338156199994,,,,,,2
Elbel Golf Course,Golf Course,26595 Auten Road,South Bend,Indiana,46628,41.74452579300049,-86.38303277099965,,,,1,,
Erskine Golf Course,Golf Course,4200 Miami Road,South Bend,Indiana,46614,41.63237676200049,-86.23474588899967,,,,1,,
Four Winds Field,Community Park,301 W. South St.,South Bend,Indiana,46601,41.66959830800005,-86.25358006499994,,1,,,,
Fredrickson Park,Neighborhood Park,1330 South Bend Avenue,South Bend,Indiana,46617,41.6905863180005,-86.23014733899964,,,,,,
Fremont Park,Block Park,1800 North Fremont Street,South Bend,Indiana,46628,41.6993638400005,-86.28497231499966,,,,,,
Gwen Stiver Memorial Park,Block Park,230 Michigan Street,South Bend,Indiana,46601,41.67402073700049,-86.25030000399966,,,,,,
Helman Mini Park,Block Park,1118 Helmen,South Bend,Indiana,46615,41.689879903000076,-86.20093430999998,,,,,,
Howard Park,Neighborhood Park,219 S. St. Louis Blvd,South Bend,Indiana,46617,41.67855932200007,-86.24143682299996,,,,,,
Jon Hunt Memorial Plaza,Memorial,214 Michigan Street,South Bend,Indiana,46601,41.67831068400045,-86.25045095399969,,,,,,
Keller Park,Neighborhood Park,1935 Riverside Drive,South Bend,Indiana,46616,41.70278013500007,-86.26042586099999,,1,,,,4
Kelly Park,Block Park,718 Howard Street,South Bend,Indiana,46617,41.68843302800008,-86.24057544099998,,,0.5,,,
Kennedy Park,Community Park,2700 Westmoor Street,South Bend,Indiana,46628,41.68467464800045,-86.28838583299967,,1,0.5,,,
LaSalle Landing Park,Block Park,2800 Portage,South Bend,Indiana,46619,41.66817885200004,-86.32130867999996,,,,,,
LaSalle Park,Community Park,3419 W. Washington,South Bend,Indiana,46619,41.675609146000056,-86.29558580599996,,,2,,1,2
Leeper Park,Community Park,820 N. Michigan St.,South Bend,Indiana,46616,41.68530211500007,-86.25049424399998,,,,,1,15
Lincoln Plaza Mini Park,Block Park,1601 Ryer St.,South Bend,Indiana,46628,41.69606624900007,-86.29728166299998,,,,,,
Marshall Park,Neighborhood Park,3725 Springbrook,South Bend,Indiana,46614,41.63666075300006,-86.22310960499999,,2,,,2,4
Martin Luther King Jr.,Neighborhood Park,1522 W. Linden Avenue,South Bend,Indiana,46628,41.67938320400003,-86.27417084499996,,1,4,,,
Muessel Grove Park,Neighborhood Park,1200 Wilbur Street,South Bend,Indiana,46628,41.69094202300005,-86.27398315899995,,2,1,,,
Newman Recreation Center,Neighborhood Park,727 S. Eddy St.,South Bend,Indiana,46615,41.68508008500004,-86.23537697299997,,,,,,
Nokomis Park,Block Park,310 Wakewa,South Bend,Indiana,46617,41.69005327200006,-86.25416943199997,,,,,,
Northside Blvd. Riverwalk,Community Park,1350 Northside Blvd,South Bend,Indiana,46617,41.66133958500046,-86.22912509399964,,,,,,
O'Brien Park,Neighborhood Park,321 Walter Street,South Bend,Indiana,46614,41.63101198200047,-86.24687887099964,,,,,2,
Parkovash Park,Block Park,215 Parkovash Avenue,South Bend,Indiana,46617,41.69207437700004,-86.25274700299997,,,,,,
Pier Park,Block Park,124 N. St. Joseph Street,South Bend,Indiana,46601,41.67679989700008,-86.24872927799998,,,,,,
Pinhook Park,Community Park,2801 Riverside Drive,South Bend,Indiana,46616,41.713873929000044,-86.27120318999994,,,,,,
Plaza Park,Neighborhood Park,400 Columbia Street,South Bend,Indiana,46601,41.67197971100006,-86.24572568399998,,,,,,
Ponader Park,Neighborhood Park,54054 Maple Lane Avenue,South Bend,Indiana,46635,41.70867075100006,-86.21386387099994,,,,,,
Potawatomi Park,Community Park,2000 Wall Street,South Bend,Indiana,46615,41.667536510000446,-86.21790959499964,,1,,,1,
Potawatomi Zoo,Zoo,500 South Greenlawn Avenue,South Bend,Indiana,46615,41.67127160700045,-86.22077120099965,,,,,,
Pulaski Park,Neighborhood Park,1308 Huron,South Bend,Indiana,46619,41.670183515000076,-86.27011868599999,,,2,,1,
Randolph Mini Park,Neighborhood Park,1809 Randolph Street,South Bend,Indiana,46613,41.65585821800005,-86.22014034999995,,,,,,
Ravina Park,Block Park,1522 Lebanon St.,South Bend,Indiana,46613,41.65941212900003,-86.23819020199994,,,0.5,,,
River Manor Park,Neighborhood Park,3811 Glenview Dr.,South Bend,Indiana,46628,41.72756648700005,-86.27364228199997,,,0.5,,,2
Riverside Park,Neighborhood Park,3840 Riverside Drive,South Bend,Indiana,46628,41.72734727200003,-86.26930036299996,,,,,,
