Park Name,Park Type,"Aqua Feat, Pool","Aqua Feat, Spray","Backstop, Practice",Ballfield,Basketball,Blueway,"Complex, Ballfield","Complex, Tennis",Concessions,Disk Golf,Driving Range,Educational Experience,Event Space,Fitness Course,"Garden, Community","Garden, Display",Golf,"Hockey, Ice",Loop Walk,"MP Field, Large","MP Field, Multiple","MP Field, Small",Multiuse Court,Natural Area,Open Turf,Open Water,Other - Active,Other-Passive,Passive Node,Picnic Grounds,"Playground, Destination","Playground, Local",Public Art,Shelter,"Shelter, Group",Skate Park,Sledding Hill,Structure,Tennis,"Trail, Primitive",Volleyball,"Water Access, Developed","Water Access, General",Water Feature,Address,City,State,Zip Code,Latitude,Longitude
Belleville Park,Community Park,,,,7,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,1300 S. Mayflower Road,South Bend,Indiana,46619,41.66003226000049,-86.32198280299968
Blackthorn Golf Course,Golf Course,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100 Nimtz Parkway,South Bend,Indiana,46628,41.72254377100046,-86.33406577499966
Boehm Park,Community Park,,,,2,2,,,,,,,,,,,,,,,,5,,,,,,,,,1,,2,,,1,,,,4,,,,,,3205 Edison Road,South Bend,Indiana,46617,41.694669059000034,-86.20279481199998
Boland Park,Community Park,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,2,,,,,,3000 Bendix,South Bend,Indiana,46628,41.70800951800004,-86.30776964199998
Booth Tarkington,Neighborhood Park,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1722 Rerick Drive,South Bend,Indiana,46635,41.69871230300049,-86.20190786599966
Bowman Cemetery,Cemetery,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1700 S. Miami Street,South Bend,Indiana,46613,41.65777328200005,-86.23495205399996
Brownfield Park,Block Park,,,1,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1022 Angela Blvd,South Bend,Indiana,46616,41.69323166000049,-86.26449754599969
City Cemetery,Cemetery,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,214 Elm Street,South Bend,Indiana,46616,41.67766498600048,-86.26776489199966
Coquillard Park,Neighborhood Park,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,1,,,,2,,,,,,1300 Campaeu,South Bend,Indiana,46617,41.68598225900007,-86.23081651199999
East Race Trail,Special,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,935 Niles,South Bend,Indiana,46617,41.68411374800047,-86.23649851699969
East Race Waterway,Community Park,,,,,,1,,,,,,1,1,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,126 N. Niles,South Bend,Indiana,46617,41.67740127900004,-86.24432328899996
Edison Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,2400 Rockne Dr,South Bend,Indiana,46615,41.68932081300005,-86.21338156199994
Elbel Golf Course,Golf Course,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,26595 Auten Road,South Bend,Indiana,46628,41.74452579300049,-86.38303277099965
