POPL_NAME,POPL_TYPE,POPL_PHONE,Address,City,State,Zip Code,Latitude,Longitude
South Bend Fire Dept.,FIRE STATION,574-235-9491,1222 S. Michigan St.,South Bend,Indiana,46601,41.66145320300046,-86.24997207899969
South Bend Fire Dept. Station #2,FIRE STATION,574-235-9602,402 Martin Luther King Jr Dr,South Bend,Indiana,46601,41.68009785300046,-86.25981731099967
South Bend Fire Dept. Station #3,FIRE STATION,574-235-9175,1805 McKinley Ave.,South Bend,Indiana,46617,41.680220706000455,-86.22075713699968
South Bend Fire Dept. Station #4,FIRE STATION,574-235-9422,220 N. Olive St.,South Bend,Indiana,46628,41.678453281000486,-86.28343457299968
South Bend Fire Dept. Station #5,FIRE STATION,574-235-9509,2221 Prairie Ave.,South Bend,Indiana,46614,41.64993112100046,-86.28155105499968
South Bend Fire Dept. Station #6,FIRE STATION,574-235-9691,4302 W. Western Ave.,South Bend,Indiana,46619,41.67183473200049,-86.30718176299968
South Bend Fire Dept. Station #7,FIRE STATION,574-235-9767,1616 Portage Ave.,South Bend,Indiana,46616,41.69653057200048,-86.27058017399969
South Bend Fire Dept. Station #9,FIRE STATION,574-235-9900,2520 Mishawaka Ave.,South Bend,Indiana,46615,41.6657208470005,-86.21102100299964
South Bend Fire Dept. Station #10,FIRE STATION,574-291-1309,5303 York Road,South Bend,Indiana,46614,41.61974499100046,-86.22520402199967
South Bend Fire Dept. Station #11,FIRE STATION,574-235-9385,3505 N. Bendix Dr.,South Bend,Indiana,46628,41.72318967400048,-86.29200404599965
Mishawaka Fire Dept. Station #1,FIRE STATION,574-258-1674,600 Union St.,Mishawaka,Indiana,46544,41.65585337700048,-86.17692383499968
Mishawaka Fire Dept. Station #2,FIRE STATION,574-258-1697,2332 N. Main St.,Mishawaka,Indiana,46544,41.681103660000474,-86.18137563599964
Mishawaka Fire Dept. Station #4,FIRE STATION,574-258-1704,3000 Harrison Rd,Mishawaka,Indiana,46544,41.65146299200046,-86.13096194099967
South Bend Fire Dept. Station #8,FIRE STATION,574-235-9888,2402 Twykenham Dr.,South Bend,Indiana,46614,41.622684060000495,-86.24747834599964
Centre Twp. Fire,FIRE STATION,574-291-1677,19971 Kern Road,South Bend,Indiana,46614,41.608337261000486,-86.25311604899969
Clay Twp. Sta. 1,FIRE STATION,574-272-3012,18776 Cleveland,South Bend,Indiana,46637,41.72332113800047,-86.23148092899964
Clay Twp. Sta. 2,FIRE STATION,574-272-1710,18355 Auten Road,South Bend,Indiana,46637,41.745350472000496,-86.22409018899964
German Twp. Sta. 1,FIRE STATION,574-272-9828,51775 Portage Road,South Bend,Indiana,46628,41.74029080100047,-86.29557087399968
German Twp. Sta. 2,FIRE STATION,574-232-6652,23747 Keller Road,South Bend,Indiana,46628,41.69716158800048,-86.32726932899965
Harris Twp. Sta. 2,FIRE STATION,574-273-8178,12481 Anderson,Granger,Indiana,46350,41.615093335000495,-86.73039963799965
New Carlisle Fire,FIRE STATION,574-654-3244,210 Michigan,New Carlisle,Indiana,46552,41.70646011100047,-86.51996667599968
New Carlisle Ambulanc,FIRE STATION,574-654-8801,210 Michigan,New Carlisle,Indiana,46552,41.70646011100047,-86.51996667599968
